nation,manager,player,position,club,age
Mexico,,Roberto Alvarado,3 MF,Guadalajara,
Mexico,,Luis Romo,3 MF,Guadalajara,
Mexico,,Luis Chávez,3 MF,Dynamo Moscow,
Mexico,,Érick Sánchez,3 MF,América,
Mexico,,Diego Lainez,3 MF,UANL,
Mexico,,Érik Lira,3 MF,Cruz Azul,
Mexico,,Marcel Ruiz,3 MF,Toluca,
Mexico,,Efraín Álvarez,3 MF,Guadalajara,
Mexico,,Brian Gutiérrez,3 MF,Guadalajara,
Mexico,,Gilberto Mora,3 MF,Tijuana,
Mexico,,Alexis Gutiérrez,3 MF,América,
Mexico,,Obed Vargas,3 MF,Atlético Madrid,
Mexico,,Jesús Ricardo Angulo,3 MF,Toluca,
Mexico,,Kevin Castañeda,3 MF,Tijuana,
Mexico,,Jordán Carrillo,3 MF,UNAM,
Mexico,,Álvaro Fidalgo,3 MF,Real Betis,
Mexico,,Jorge Ruvalcaba,3 MF,New York Red Bulls,
Mexico,,Alexéi Domínguez,3 MF,Pachuca,
Mexico,,Jeremy Márquez,3 MF,Cruz Azul,
Mexico,,Elías Montiel,3 MF,Pachuca,
Mexico,,Raúl Jiménez,4 FW,Fulham,
Mexico,,Alexis Vega,4 FW,Toluca,
Mexico,,Santiago Giménez,4 FW,Milan,
Mexico,,César Huerta,4 FW,Anderlecht,
Mexico,,Julián Quiñones,4 FW,Al-Qadsiah,
Mexico,,Guillermo Martínez,4 FW,UNAM,
Mexico,,Germán Berterame,4 FW,Inter Miami CF,
Mexico,,Armando González,4 FW,Guadalajara,
South Africa,,Ronwen Williams ( captain ),1 GK,Mamelodi Sundowns,
South Africa,,Ricardo Goss,1 GK,Siwelele,
South Africa,,Sipho Chaine,1 GK,Orlando Pirates,
South Africa,,Aubrey Modiba,2 DF,Mamelodi Sundowns,
South Africa,,Khuliso Mudau,2 DF,Mamelodi Sundowns,
South Africa,,Nkosinathi Sibisi,2 DF,Orlando Pirates,
South Africa,,Mbekezeli Mbokazi,2 DF,Chicago Fire,
South Africa,,Ime Okon,2 DF,Hannover 96,
South Africa,,Samukele Kabini,2 DF,Molde,
South Africa,,Khulumani Ndamane,2 DF,Mamelodi Sundowns,
South Africa,,Thabang Matuludi,2 DF,Polokwane City,
South Africa,,Kamogelo Sebelebele,2 DF,Orlando Pirates,
South Africa,,Bradley Cross,2 DF,Kaizer Chiefs,
South Africa,,Olwethu Makhanya,2 DF,Philadelphia Union,
South Africa,,Teboho Mokoena,3 MF,Mamelodi Sundowns,
South Africa,,Sphephelo Sithole,3 MF,Tondela,
South Africa,,Thalente Mbatha,3 MF,Orlando Pirates,
South Africa,,Jayden Adams,3 MF,Mamelodi Sundowns,
South Africa,,Themba Zwane,4 FW,Mamelodi Sundowns,
South Africa,,Lyle Foster,4 FW,Burnley,
South Africa,,Evidence Makgopa,4 FW,Orlando Pirates,
South Africa,,Oswin Appollis,4 FW,Orlando Pirates,
South Africa,,Iqraam Rayners,4 FW,Mamelodi Sundowns,
South Africa,,Relebohile Mofokeng,4 FW,Orlando Pirates,
South Africa,,Thapelo Maseko,4 FW,AEL Limassol,
South Africa,,Tshepang Moremi,4 FW,Orlando Pirates,
South Korea,,Kim Seung-gyu,1 GK,FC Tokyo,
South Korea,,Jo Hyeon-woo,1 GK,Ulsan HD,
South Korea,,Song Bum-keun,1 GK,Jeonbuk Hyundai Motors,
South Korea,,Kim Min-jae,2 DF,Bayern Munich,
South Korea,,Kim Moon-hwan,2 DF,Daejeon Hana Citizen,
South Korea,,Seol Young-woo,2 DF,Red Star Belgrade,
South Korea,,Cho Yu-min,2 DF,Sharjah,
South Korea,,Lee Tae-seok,2 DF,Austria Wien,
South Korea,,Park Jin-seob,2 DF,Zhejiang FC,
South Korea,,Kim Tae-hyeon,2 DF,Kashima Antlers,
South Korea,,Lee Han-beom,2 DF,Midtjylland,
South Korea,,Jens Castrop,2 DF,Borussia Mönchengladbach,
South Korea,,Lee Ki-hyuk,2 DF,Gangwon FC,
South Korea,,Lee Jae-sung,3 MF,Mainz 05,
South Korea,,Hwang Hee-chan,3 MF,Wolverhampton Wanderers,
South Korea,,Hwang In-beom,3 MF,Feyenoord,
South Korea,,Lee Kang-in,3 MF,Paris Saint-Germain,
South Korea,,Paik Seung-ho,3 MF,Birmingham City,
South Korea,,Kim Jin-gyu,3 MF,Jeonbuk Hyundai Motors,
South Korea,,Lee Dong-gyeong,3 MF,Ulsan HD,
South Korea,,Bae Jun-ho,3 MF,Stoke City,
South Korea,,Eom Ji-sung,3 MF,Swansea City,
South Korea,,Yang Hyun-jun,3 MF,Celtic,
South Korea,,Son Heung-min ( captain ),4 FW,Los Angeles FC,
South Korea,,Cho Gue-sung,4 FW,Midtjylland,
South Korea,,Oh Hyeon-gyu,4 FW,Beşiktaş,
Bosnia and Herzegovina,,Nikola Vasilj,1 GK,FC St. Pauli,
Bosnia and Herzegovina,,Martin Zlomislić,1 GK,Rijeka,
Bosnia and Herzegovina,,Osman Hadžikić,1 GK,Slaven Belupo,
Bosnia and Herzegovina,,Sead Kolašinac,2 DF,Atalanta,
Bosnia and Herzegovina,,Dennis Hadžikadunić,2 DF,Sampdoria,
Bosnia and Herzegovina,,Amar Dedić,2 DF,Benfica,
Bosnia and Herzegovina,,Nikola Katić,2 DF,Schalke 04,
Bosnia and Herzegovina,,Tarik Muharemović,2 DF,Sassuolo,
Bosnia and Herzegovina,,Nihad Mujakić,2 DF,Gaziantep,
Bosnia and Herzegovina,,Stjepan Radeljić,2 DF,Rijeka,
Bosnia and Herzegovina,,Nidal Čelik,2 DF,Lens,
Bosnia and Herzegovina,,Amir Hadžiahmetović,3 MF,Hull City,
Bosnia and Herzegovina,,Benjamin Tahirović,3 MF,Brøndby,
Bosnia and Herzegovina,,Armin Gigović,3 MF,Young Boys,
Bosnia and Herzegovina,,Dženis Burnić,3 MF,Karlsruher SC,
Bosnia and Herzegovina,,Ivan Bašić,3 MF,Astana,
Bosnia and Herzegovina,,Esmir Bajraktarević,3 MF,PSV Eindhoven,
Bosnia and Herzegovina,,Amar Memić,3 MF,Viktoria Plzeň,
Bosnia and Herzegovina,,Ivan Šunjić,3 MF,Pafos,
Bosnia and Herzegovina,,Kerim Alajbegović,3 MF,Red Bull Salzburg,
Bosnia and Herzegovina,,Ermin Mahmić,3 MF,Slovan Liberec,
Bosnia and Herzegovina,,Edin Džeko ( captain ),4 FW,Schalke 04,
Bosnia and Herzegovina,,Ermedin Demirović,4 FW,VfB Stuttgart,
Bosnia and Herzegovina,,Samed Baždar,4 FW,Jagiellonia Białystok,
Bosnia and Herzegovina,,Haris Tabaković,4 FW,Borussia Mönchengladbach,
Bosnia and Herzegovina,,Jovo Lukić,4 FW,Universitatea Cluj,
Canada,,Maxime Crépeau,1 GK,Orlando City SC,
Canada,,Dayne St. Clair,1 GK,Inter Miami CF,
Canada,,Owen Goodman,1 GK,Barnsley,
Canada,,Richie Laryea,2 DF,Toronto FC,
Canada,,Alphonso Davies ( captain ),2 DF,Bayern Munich,
Canada,,Alistair Johnston,2 DF,Celtic,
Canada,,Derek Cornelius,2 DF,Rangers,
Canada,,Moïse Bombito,2 DF,Nice,
Canada,,Niko Sigur,2 DF,Hajduk Split,
Canada,,Joel Waterman,2 DF,Chicago Fire,
Canada,,Luc de Fougerolles,2 DF,Dender,
Canada,,Zorhan Bassong,2 DF,Sporting Kansas City,
Canada,,Jamie Knight-Lebel,2 DF,Swindon Town,
Canada,,Ralph Priso,2 DF,Vancouver Whitecaps FC,
Canada,,Alfie Jones,2 DF,Middlesbrough,
Canada,,Jonathan Osorio,3 MF,Toronto FC,
Canada,,Tajon Buchanan,3 MF,Villarreal,
Canada,,Stephen Eustáquio,3 MF,Los Angeles FC,
Canada,,Liam Millar,3 MF,Hull City,
Canada,,Ismaël Koné,3 MF,Sassuolo,
Canada,,Jacob Shaffelburg,3 MF,Los Angeles FC,
Canada,,Ali Ahmed,3 MF,Norwich City,
Canada,,Mathieu Choinière,3 MF,Los Angeles FC,
Canada,,Nathan Saliba,3 MF,Anderlecht,
Canada,,Jayden Nelson,3 MF,Austin FC,
Canada,,Marcelo Flores,3 MF,UANL,
Canada,,Cyle Larin,4 FW,Southampton,
Canada,,Jonathan David,4 FW,Juventus,
Canada,,Tani Oluwaseyi,4 FW,Villarreal,
Canada,,Promise David,4 FW,Union Saint-Gilloise,
Canada,,Jacen Russell-Rowe,4 FW,Toulouse,
Canada,,Daniel Jebbison,4 FW,Preston North End,
Qatar,,Meshaal Barsham,1 GK,Al-Sadd,
Qatar,,Salah Zakaria,1 GK,Al-Duhail,
Qatar,,Mahmud Abunada,1 GK,Al-Rayyan,
Qatar,,Shehab Ellethy,1 GK,Al-Shahaniya,
Qatar,,Boualem Khoukhi,2 DF,Al-Sadd,
Qatar,,Pedro Miguel,2 DF,Al-Sadd,
Qatar,,Homam Ahmed,2 DF,Cultural Leonesa,
Qatar,,Lucas Mendes,2 DF,Al-Wakrah,
Qatar,,Sultan Al-Brake,2 DF,Al-Duhail,
Qatar,,Al-Hashmi Al-Hussain,2 DF,Al-Arabi,
Qatar,,Ayoub Al-Oui,2 DF,Al-Gharafa,
Qatar,,Issa Laye,2 DF,Al-Arabi,
Qatar,,Rayyan Al-Ali,2 DF,Al-Gharafa,
Qatar,,Abdulaziz Hatem,3 MF,Al-Rayyan,
Qatar,,Karim Boudiaf,3 MF,Al-Duhail,
Qatar,,Assim Madibo,3 MF,Al-Wakrah,
Qatar,,Ahmed Fathy,3 MF,Al-Arabi,
Qatar,,Jassem Gaber,3 MF,Al-Rayyan,
Qatar,,Mohamed Al-Mannai,3 MF,Al-Shamal,
Qatar,,Tahsin Jamshid,3 MF,Al-Duhail,
Qatar,,Hassan Al-Haydos ( captain ),4 FW,Al-Sadd,
Qatar,,Akram Afif,4 FW,Al-Sadd,
Qatar,,Almoez Ali,4 FW,Al-Duhail,
Qatar,,Mohammed Muntari,4 FW,Al-Gharafa,
Qatar,,Ahmed Alaaeldin,4 FW,Al-Rayyan,
Qatar,,Yusuf Abdurisag,4 FW,Al-Wakrah,
Qatar,,Edmilson Junior,4 FW,Al-Duhail,
Qatar,,Ahmed Al-Ganehi,4 FW,Al-Gharafa,
Switzerland,,Gregor Kobel,1 GK,Borussia Dortmund,
Switzerland,,Miro Muheim,2 DF,Hamburger SV,
Switzerland,,Silvan Widmer,2 DF,Mainz 05,
Switzerland,,Nico Elvedi,2 DF,Borussia Mönchengladbach,
Switzerland,,Manuel Akanji,2 DF,Inter Milan,
Switzerland,,Denis Zakaria,3 MF,Monaco,
Switzerland,,Breel Embolo,4 FW,Rennes,
Switzerland,,Remo Freuler,3 MF,Bologna,
Switzerland,,Johan Manzambi,3 MF,SC Freiburg,
Switzerland,,Granit Xhaka ( captain ),3 MF,Sunderland,
Switzerland,,Dan Ndoye,4 FW,Nottingham Forest,
Switzerland,,Yvon Mvogo,1 GK,Lorient,
Switzerland,,Ricardo Rodriguez,2 DF,Real Betis,
Switzerland,,Ardon Jashari,3 MF,Milan,
Switzerland,,Djibril Sow,3 MF,Sevilla,
Switzerland,,Christian Fassnacht,3 MF,Young Boys,
Switzerland,,Rubén Vargas,4 FW,Sevilla,
Switzerland,,Eray Cömert,2 DF,Valencia,
Switzerland,,Noah Okafor,4 FW,Leeds United,
Switzerland,,Michel Aebischer,3 MF,Pisa,
Switzerland,,Marvin Keller,1 GK,Young Boys,
Switzerland,,Fabian Rieder,3 MF,FC Augsburg,
Switzerland,,Zeki Amdouni,4 FW,Burnley,
Switzerland,,Aurèle Amenda,2 DF,Eintracht Frankfurt,
Switzerland,,Luca Jaquez,2 DF,VfB Stuttgart,
Switzerland,,Cedric Itten,4 FW,Fortuna Düsseldorf,
Brazil,,Alisson,1 GK,Liverpool,
Brazil,,Ederson,1 GK,Fenerbahçe,
Brazil,,Weverton,1 GK,Grêmio,
Brazil,,Marquinhos,2 DF,Paris Saint-Germain,
Brazil,,Danilo Luiz,2 DF,Flamengo,
Brazil,,Alex Sandro,2 DF,Flamengo,
Brazil,,Gabriel Magalhães,2 DF,Arsenal,
Brazil,,Bremer,2 DF,Juventus,
Brazil,,Wesley,2 DF,Roma,
Brazil,,Roger Ibañez,2 DF,Al-Ahli,
Brazil,,Douglas Santos,2 DF,Zenit Saint Petersburg,
Brazil,,Léo Pereira,2 DF,Flamengo,
Brazil,,Casemiro ( captain ),3 MF,Manchester United,
Brazil,,Lucas Paquetá,3 MF,Flamengo,
Brazil,,Bruno Guimarães,3 MF,Newcastle United,
Brazil,,Fabinho,3 MF,Al-Ittihad,
Brazil,,Danilo Santos,3 MF,Botafogo,
Brazil,,Neymar,4 FW,Santos,
Brazil,,Vinícius Júnior,4 FW,Real Madrid,
Brazil,,Raphinha,4 FW,Barcelona,
Brazil,,Gabriel Martinelli,4 FW,Arsenal,
Brazil,,Matheus Cunha,4 FW,Manchester United,
Brazil,,Endrick,4 FW,Lyon,
Brazil,,Luiz Henrique,4 FW,Zenit Saint Petersburg,
Brazil,,Igor Thiago,4 FW,Brentford,
Brazil,,Rayan,4 FW,Bournemouth,
Haiti,,Johny Placide ( captain ),1 GK,Bastia,
Haiti,,Alexandre Pierre,1 GK,Sochaux,
Haiti,,Josué Duverger,1 GK,Cosmos Koblenz,
Haiti,,Ricardo Adé,2 DF,LDU Quito,
Haiti,,Carlens Arcus,2 DF,Angers,
Haiti,,Martin Expérience,2 DF,Nancy,
Haiti,,Jean-Kévin Duverne,2 DF,Gent,
Haiti,,Duke Lacroix,2 DF,Colorado Springs Switchbacks,
Haiti,,Wilguens Paugain,2 DF,Zulte Waregem,
Haiti,,Hannes Delcroix,2 DF,Lugano,
Haiti,,Keeto Thermoncy,2 DF,Young Boys,
Haiti,,Leverton Pierre,3 MF,Vizela,
Haiti,,Danley Jean Jacques,3 MF,Philadelphia Union,
Haiti,,Carl Sainté,3 MF,El Paso Locomotive FC,
Haiti,,Jean-Ricner Bellegarde,3 MF,Wolverhampton Wanderers,
Haiti,,Woodensky Pierre,3 MF,Violette,
Haiti,,Dominique Simon,3 MF,Tatran Prešov,
Haiti,,Duckens Nazon,4 FW,Esteghlal,
Haiti,,Frantzdy Pierrot,4 FW,Çaykur Rizespor,
Haiti,,Derrick Etienne Jr.,4 FW,Toronto FC,
Haiti,,Louicius Deedson,4 FW,FC Dallas,
Haiti,,Ruben Providence,4 FW,Almere City,
Haiti,,Josué Casimir,4 FW,Auxerre,
Haiti,,Yassin Fortuné,4 FW,Vizela,
Haiti,,Wilson Isidor,4 FW,Sunderland,
Haiti,,Lenny Joseph,4 FW,Ferencváros,
Morocco,,Yassine Bounou,1 GK,Al-Hilal,
Morocco,,Munir Mohamedi,1 GK,RS Berkane,
Morocco,,Ahmed Reda Tagnaouti,1 GK,AS FAR,
Morocco,,Achraf Hakimi ( captain ),2 DF,Paris Saint-Germain,
Morocco,,Nayef Aguerd,2 DF,Marseille,
Morocco,,Noussair Mazraoui,2 DF,Manchester United,
Morocco,,Youssef Belammari,2 DF,Al Ahly,
Morocco,,Anass Salah-Eddine,2 DF,PSV Eindhoven,
Morocco,,Chadi Riad,2 DF,Crystal Palace,
Morocco,,Issa Diop,2 DF,Fulham,
Morocco,,Zakaria El Ouahdi,2 DF,Genk,
Morocco,,Redouane Halhal,2 DF,Mechelen,
Morocco,,Sofyan Amrabat,3 MF,Real Betis,
Morocco,,Azzedine Ounahi,3 MF,Girona,
Morocco,,Bilal El Khannouss,3 MF,VfB Stuttgart,
Morocco,,Ismael Saibari,3 MF,PSV Eindhoven,
Morocco,,Neil El Aynaoui,3 MF,Roma,
Morocco,,Samir El Mourabet,3 MF,Strasbourg,
Morocco,,Ayyoub Bouaddi,3 MF,Lille,
Morocco,,Ayoub El Kaabi,4 FW,Olympiacos,
Morocco,,Abde Ezzalzouli,4 FW,Real Betis,
Morocco,,Soufiane Rahimi,4 FW,Al Ain,
Morocco,,Brahim Díaz,4 FW,Real Madrid,
Morocco,,Chemsdine Talbi,4 FW,Sunderland,
Morocco,,Gessime Yassine,4 FW,Strasbourg,
Morocco,,Ayoube Amaimouni,4 FW,Eintracht Frankfurt,
Scotland,,Craig Gordon,1 GK,Heart of Midlothian,
Scotland,,Angus Gunn,1 GK,Nottingham Forest,
Scotland,,Liam Kelly,1 GK,Rangers,
Scotland,,Andy Robertson ( captain ),2 DF,Liverpool,
Scotland,,Grant Hanley,2 DF,Hibernian,
Scotland,,Kieran Tierney,2 DF,Celtic,
Scotland,,Scott McKenna,2 DF,Dinamo Zagreb,
Scotland,,Jack Hendry,2 DF,Al-Ettifaq,
Scotland,,Nathan Patterson,2 DF,Everton,
Scotland,,Anthony Ralston,2 DF,Celtic,
Scotland,,John Souttar,2 DF,Rangers,
Scotland,,Aaron Hickey,2 DF,Brentford,
Scotland,,Dominic Hyam,2 DF,Wrexham,
Scotland,,John McGinn,3 MF,Aston Villa,
Scotland,,Scott McTominay,3 MF,Napoli,
Scotland,,Ryan Christie,3 MF,Bournemouth,
Scotland,,Kenny McLean,3 MF,Norwich City,
Scotland,,Billy Gilmour,3 MF,Napoli,
Scotland,,Lewis Ferguson,3 MF,Bologna,
Scotland,,Ben Gannon-Doak,3 MF,Bournemouth,
Scotland,,Findlay Curtis,3 MF,Kilmarnock,
Scotland,,Lyndon Dykes,4 FW,Charlton Athletic,
Scotland,,Ché Adams,4 FW,Torino,
Scotland,,Lawrence Shankland,4 FW,Heart of Midlothian,
Scotland,,George Hirst,4 FW,Ipswich Town,
Scotland,,Ross Stewart,4 FW,Southampton,
Paraguay,,Gatito Fernández,1 GK,Cerro Porteño,
Paraguay,,Carlos Coronel,1 GK,São Paulo,
Paraguay,,Orlando Gill,1 GK,San Lorenzo,
Paraguay,,Santiago Rojas,1 GK,Nacional,
Paraguay,,Juan Espínola,1 GK,Barracas Central,
Paraguay,,Gastón Olveira,1 GK,Olimpia,
Paraguay,,Gustavo Gómez ( captain ),2 DF,Palmeiras,
Paraguay,,Júnior Alonso,2 DF,Atlético Mineiro,
Paraguay,,Fabián Balbuena,2 DF,Grêmio,
Paraguay,,Omar Alderete,2 DF,Sunderland,
Paraguay,,Juan José Cáceres,2 DF,Dynamo Moscow,
Paraguay,,Blas Riveros,2 DF,Cerro Porteño,
Paraguay,,Gustavo Velázquez,2 DF,Cerro Porteño,
Paraguay,,Alan Benítez,2 DF,Libertad,
Paraguay,,Agustín Sández,2 DF,Rosario Central,
Paraguay,,Mateo Gamarra,2 DF,Cruzeiro,
Paraguay,,Saúl Salcedo,2 DF,Newell's Old Boys,
Paraguay,,José Canale,2 DF,Lanús,
Paraguay,,Diego León,2 DF,Manchester United,
Paraguay,,Alexandro Maidana,2 DF,Talleres,
Paraguay,,Alcides Benítez,2 DF,Belgrano,
Paraguay,,Ronaldo Dejesús,2 DF,Lanús,
Paraguay,,Alan Núñez,2 DF,Nacional,
Paraguay,,Miguel Almirón,3 MF,Atlanta United FC,
Paraguay,,Mathías Villasanti,3 MF,Grêmio,
Paraguay,,Kaku,3 MF,Al Ain,
Paraguay,,Andrés Cubas,3 MF,Vancouver Whitecaps FC,
Paraguay,,Ramón Sosa,3 MF,Palmeiras,
Paraguay,,Diego Gómez,3 MF,Brighton & Hove Albion,
Paraguay,,Damián Bobadilla,3 MF,São Paulo,
Paraguay,,Braian Ojeda,3 MF,Orlando City SC,
Paraguay,,Matías Galarza,3 MF,Atlanta United FC,
Paraguay,,Robert Piris Da Motta,3 MF,Cerro Porteño,
Paraguay,,Álvaro Campuzano,3 MF,Libertad,
Paraguay,,Diego González,3 MF,Atlas,
Paraguay,,Hugo Cuenca,3 MF,Burgos,
Paraguay,,Maurício,3 MF,Palmeiras,
Paraguay,,Lucas Romero,3 MF,Universidad de Chile,
Paraguay,,Enso González,3 MF,Wolverhampton Wanderers,
Paraguay,,Rubén Lezcano,3 MF,Olimpia,
Paraguay,,Óscar Romero,4 FW,Huracán,
Paraguay,,Ángel Romero,4 FW,Boca Juniors,
Paraguay,,Antonio Sanabria,4 FW,Cremonese,
Paraguay,,Julio Enciso,4 FW,Strasbourg,
Paraguay,,Gabriel Ávalos,4 FW,Independiente,
Paraguay,,Carlos González,4 FW,Independiente del Valle,
Paraguay,,Álex Arce,4 FW,Independiente Rivadavia,
Paraguay,,Adam Bareiro,4 FW,Boca Juniors,
Paraguay,,Lorenzo Melgarejo,4 FW,Libertad,
Paraguay,,Isidro Pitta,4 FW,Red Bull Bragantino,
Paraguay,,Ronaldo Martínez,4 FW,Talleres,
Paraguay,,Gustavo Caballero,4 FW,Portsmouth,
Paraguay,,Robert Morales,4 FW,UNAM,
Paraguay,,Adrián Alcaraz,4 FW,Olimpia,
Paraguay,,Rodney Redes,4 FW,LDU Quito,
Turkey,,Uğurcan Çakır,1 GK,Galatasaray,
Turkey,,Mert Günok,1 GK,Fenerbahçe,
Turkey,,Altay Bayındır,1 GK,Manchester United,
Turkey,,Ersin Destanoğlu,1 GK,Beşiktaş,
Turkey,,Muhammed Şengezer,1 GK,İstanbul Başakşehir,
Turkey,,Merih Demiral,2 DF,Al-Ahli,
Turkey,,Zeki Çelik,2 DF,Roma,
Turkey,,Çağlar Söyüncü,2 DF,Fenerbahçe,
Turkey,,Mert Müldür,2 DF,Fenerbahçe,
Turkey,,Ferdi Kadıoğlu,2 DF,Brighton & Hove Albion,
Turkey,,Ozan Kabak,2 DF,TSG Hoffenheim,
Turkey,,Abdülkerim Bardakcı,2 DF,Galatasaray,
Turkey,,Eren Elmalı,2 DF,Galatasaray,
Turkey,,Samet Akaydin,2 DF,Çaykur Rizespor,
Turkey,,Yusuf Akçiçek,2 DF,Al-Hilal,
Turkey,,Mustafa Eskihellaç,2 DF,Trabzonspor,
Turkey,,Ahmetcan Kaplan,2 DF,NEC,
Turkey,,Hakan Çalhanoğlu ( captain ),3 MF,Inter Milan,
Turkey,,Kaan Ayhan,3 MF,Galatasaray,
Turkey,,Orkun Kökçü,3 MF,Beşiktaş,
Turkey,,İsmail Yüksek,3 MF,Fenerbahçe,
Turkey,,Salih Özcan,3 MF,Borussia Dortmund,
Turkey,,Atakan Karazor,3 MF,VfB Stuttgart,
Turkey,,Demir Ege Tıknaz,3 MF,Braga,
Turkey,,Kerem Aktürkoğlu,4 FW,Fenerbahçe,
Turkey,,İrfan Can Kahveci,4 FW,Kasımpaşa,
Turkey,,Barış Alper Yılmaz,4 FW,Galatasaray,
Turkey,,Arda Güler,4 FW,Real Madrid,
Turkey,,Kenan Yıldız,4 FW,Juventus,
Turkey,,Yunus Akgün,4 FW,Galatasaray,
Turkey,,Oğuz Aydın,4 FW,Fenerbahçe,
Turkey,,Deniz Gül,4 FW,Porto,
Turkey,,Yusuf Sarı,4 FW,İstanbul Başakşehir,
Turkey,,Can Uzun,4 FW,Eintracht Frankfurt,
Turkey,,Aral Şimşir,4 FW,Midtjylland,
United States,,Matt Turner,1 GK,New England Revolution,
United States,,Sergiño Dest,2 DF,PSV Eindhoven,
United States,,Chris Richards,2 DF,Crystal Palace,
United States,,Tyler Adams,3 MF,Bournemouth,
United States,,Antonee Robinson,2 DF,Fulham,
United States,,Auston Trusty,2 DF,Celtic,
United States,,Giovanni Reyna,3 MF,Borussia Mönchengladbach,
United States,,Weston McKennie,3 MF,Juventus,
United States,,Ricardo Pepi,4 FW,PSV Eindhoven,
United States,,Christian Pulisic ( captain ),4 FW,Milan,
United States,,Brenden Aaronson,4 FW,Leeds United,
United States,,Miles Robinson,2 DF,FC Cincinnati,
United States,,Tim Ream,2 DF,Charlotte FC,
United States,,Sebastian Berhalter,3 MF,Vancouver Whitecaps FC,
United States,,Cristian Roldan,3 MF,Seattle Sounders FC,
United States,,Alex Freeman,2 DF,Villarreal,
United States,,Malik Tillman,3 MF,Bayer Leverkusen,
United States,,Maximilian Arfsten,2 DF,Columbus Crew,
United States,,Haji Wright,4 FW,Coventry City,
United States,,Folarin Balogun,4 FW,Monaco,
United States,,Timothy Weah,4 FW,Marseille,
United States,,Mark McKenzie,2 DF,Toulouse,
United States,,Joe Scally,2 DF,Borussia Mönchengladbach,
United States,,Matt Freese,1 GK,New York City FC,
United States,,Chris Brady,1 GK,Chicago Fire,
United States,,Alejandro Zendejas,4 FW,América,
Curaçao,,Eloy Room,1 GK,Miami FC,
Curaçao,,Trevor Doornbusch,1 GK,VVV-Venlo,
Curaçao,,Tyrick Bodak,1 GK,Telstar,
Curaçao,,Juriën Gaari,2 DF,Abha,
Curaçao,,Roshon van Eijma,2 DF,RKC Waalwijk,
Curaçao,,Sherel Floranus,2 DF,PEC Zwolle,
Curaçao,,Joshua Brenet,2 DF,Kayserispor,
